storename,Avg_list_price,Avg_sale_price
"Direct Sales",3034.23713646,3028.82761199
"DIAMOND CYCLE CENTER",3032.56000000,3030.00000000
"ILL CYCLE & FITNESS",3031.66000000,3030.00000000
"MOUNT WASHINGTON BIKE SHOP",3027.96500000,3025.00000000
"WALKER & SON BICYCLES",3026.81000000,3020.00000000
"HOLLYLOFT SKI & BIKE",3024.32000000,3020.00000000
"LOGAN KEY & LOCK SHOP",3024.32000000,3020.00000000
"BICYCLE BARN",3023.72000000,3020.00000000
"DELUXE BICYCLES",3022.08500000,3015.00000000
"MIKE'S BICYCLE ADVENTURE",3021.72000000,3020.00000000
"TAILWIND CYCLING & FITNESS",3020.34000000,3020.00000000
"GARY'S CYCLE SHOP",3019.81500000,3015.00000000
"FOOTHILL CYCLERY",3018.70000000,3010.00000000
"LARRY'S BIKE SHOP",3017.70000000,3010.00000000
"MIAMI BEACH BICYCLE CENTER",3017.60000000,3010.00000000
"CUMBERLAND TRANSIT BICYCLES",3014.46500000,3010.00000000
"VALLEY CREEK BICYCLE INC",3014.30000000,3010.00000000
"SCHWINN NORRIS BICYCLES",3012.27000000,3010.00000000
"BIKE RACK HUMPALS",3011.98000000,3005.00000000
"BARBERTON BIKE & TRAIN DEPOT",3008.82000000,3000.00000000
"RECYCLED BICYCLES",3007.07000000,3000.00000000
"KATY BIKE RENTAL INC",3007.05750000,3002.50000000
"THIRD STREET BIKE SHOP",3005.55000000,3000.00000000
"DALTON BICYCLE WORKS",3001.11333333,2993.33333333
"OWENSBORO SCHWINN CYCLERY",2999.04000000,2980.00000000
"DAVENPORT SPRING CO INC",2998.17000000,2990.00000000
"ADAMS MOPEDS & BICYCLES",2997.72148148,2991.85185185
"BIRCH TREE ENTERPRISES INC",2997.21000000,2990.00000000
"MURRAY'S BIKE SHOP",2996.86000000,2990.00000000
"SPRING ST SPORTS INC",2995.11500000,2990.00000000
"BIKE PATH",2991.51000000,2990.00000000
"S & J SCOOTER BIKES",2985.21000000,2980.00000000
"ISLAND CRUISERS INC",2983.88000000,2975.00000000
"LOVELAND'S CYCLE",2982.03333333,2963.33333333
"BEAUFORT BIKE SHOP",2981.60000000,2980.00000000
"BICYCLE HOSPITAL",2977.62000000,2970.00000000
"PEDAL & SPOKE LTD",2977.62000000,2970.00000000
"THE MOUNTAIN MAN SKI SHOP",2977.62000000,2970.00000000
"A BICYCLE STATION",2976.92058824,2971.76470588
"EADS SUPPLY & CYCLE SALES",2974.26583333,2966.66666667
"UNIVERSITY SCHWINN CYCLERY",2971.76000000,2970.00000000
"BICYCLE DOCTOR/EDGEWORKS",2971.57000000,2970.00000000
"ROSWELL SCHWINN CYCLERY",2969.32500000,2965.00000000
"BELLFLOWER BIKE SHOP",2966.74500000,2960.00000000
"VILLAGE BIKE SHOPS",2965.01000000,2960.00000000
"REG BAUER'S BIKE SHOP",2957.92333333,2956.66666667
"ALL SPOKES BICYCLE SHOP",2956.50000000,2950.00000000
"CALIFORNIA BICYCLE INC",2955.13000000,2950.00000000
"HIGHLAND PARK SCHWINN CYCLERY",2952.56000000,2950.00000000
"ASHLAND BICYCLE CENTER",2949.08400000,2938.00000000
"BIKE TECH",2945.50142857,2941.42857143
"MOTTOLA BICYCLE",2944.38500000,2940.00000000
"WAYNE CYCLERY",2941.61250000,2932.50000000
"SELF-PROPULSION INC",2940.84000000,2940.00000000
"THE BICYCLE CHAIN",2938.00000000,2930.00000000
"LIVERNOIS BIKE SHOP",2937.81000000,2900.00000000
"AMPRO CYCLES INTERNATIONAL",2937.62000000,2935.00000000
"COUNTRY CYCLES",2937.16000000,2930.00000000
JIM'S,2937.02000000,2930.00000000
"JOE'S BIKE SHOP",2936.56666667,2930.00000000
"LAKE SHORE SCHWINN CYCLERY",2935.95750000,2935.00000000
"VIA BICYCLE",2934.08000000,2930.00000000
"MIKES BIKES & SM ENG RPR INC",2934.00000000,2925.00000000
"SHANK'S MARE OUTFITTERS",2930.28000000,2930.00000000
"JUST NORTH OF DAYTONA",2930.11000000,2925.00000000
"HARRISON'S BICYCLE SHOP",2929.94750000,2922.50000000
"BIKE ADDICTS",2927.93333333,2923.33333333
"FOUR SONS CYCLERY",2925.95000000,2920.00000000
"BICYCLE AUTHORITY",2925.90000000,2925.00000000
"HANNA'S BIKE SHOP",2925.23666667,2920.00000000
"MAIN STREET CYCLES",2924.45000000,2920.00000000
"A & M CYCLE & SUPPLY CO",2923.23000000,2920.00000000
"VILLAGE BICYCLE SHOPPE",2922.60000000,2920.00000000
"BONZAI SPORTS CENTER",2921.21000000,2910.00000000
"THE GERMANTOWN BICYCLE SHOP",2919.38500000,2915.00000000
"MIDWEST CYCLERY",2918.35000000,2913.33333333
"WESTERVILLE BIKE SHOP",2917.78000000,2910.00000000
"CONTINENTAL CYCLERY",2915.04500000,2910.00000000
"JAYHAWK PAWN & JEWELRY",2914.93500000,2910.00000000
"THE BIKE BUZZARD",2914.48000000,2910.00000000
"ISLAND TRIATHLON & BIKE",2913.54000000,2910.00000000
"DANIEL BOONE CYCLES INC",2911.59000000,2910.00000000
"DIAMOND CYCLERY",2908.90000000,2900.00000000
"BICYCLE SPORT",2908.82000000,2906.66666667
"UPTOWN CYCLERY & SPORT",2908.45000000,2900.00000000
"TONY'S SCHWINN BIKE SHOP",2907.58093750,2902.50000000
"THE MOUNTAIN WORKS",2905.08000000,2900.00000000
"DENVER'S SPOKE SHOPS",2904.08000000,2900.00000000
"ASSENMACHER'S CYCLING CENTER G",2903.67600000,2898.00000000
"WESTPORT BICYCLES",2903.52000000,2900.00000000
"FRIDLEY HTS SCHWINN CYCLERY",2901.94000000,2895.00000000
"THE BIKE PEDDLER",2901.78000000,2895.00000000
"LIGHTNING CYCLES",2901.29666667,2891.66666667
"THE BLT SHOP",2900.64000000,2900.00000000
"DIXIE SCHWINN CYCLERY",2900.57750000,2898.41500000
"IMPERIAL STORES",2900.08000000,2896.66666667
"BIKE STOP",2899.44333333,2893.33333333
"ALBUQUERQUE BICYCLE CENTER",2895.68000000,2890.00000000
"ALL BICYCLES",2895.68000000,2890.00000000
"BIKE DOCTOR",2892.83250000,2887.50000000
"MY BROTHER'S BICYCLE",2892.70000000,2890.00000000
"BOULEVARD BICYCLE SHOP",2890.29000000,2890.00000000
"WILLIE'S SPORT SHOP",2889.72000000,2880.00000000
"THE BIKE GALLERY",2889.42000000,2875.00000000
"COAST BIKE & SPORT SHOP",2888.10000000,2880.00000000
"WOLFGARD INTERNATIONAL LTD",2888.07000000,2880.00000000
"CASTRO VALLEY CYCLERY",2885.56500000,2880.00000000
"FINE EDGE",2883.18000000,2880.00000000
"FAT TIRE CYCLES",2882.70000000,2880.00000000
"TRM CYCLES",2880.95000000,2880.00000000
"HIGH GEAR",2879.83000000,2870.00000000
"CYCLEPATH OF SAN MATEO",2877.56000000,2870.00000000
"PACE BICYCLE HAVEN",2876.16000000,2870.00000000
"WHEEL & SPROCKET INC",2874.98000000,2870.00000000
"ROSEWOOD CYCLING & FITNESS",2874.56500000,2857.50000000
"DTS INTERNATL INC",2874.31000000,2870.00000000
"BAY AREA SCHWINN",2873.57000000,2870.00000000
"DAVID'S CYCLES",2867.69500000,2860.00000000
"PAQUETTE'S CYCLE & SKI",2866.92500000,2860.00000000
"MAJOR MOTOR SUPPLY CO",2866.63375000,2861.25000000
"BIKE CENTER OF SHEM CREEK",2866.11000000,2860.00000000
"WALLY'S BICYCLES",2865.86000000,2860.00000000
"PITTSBURGH PRO BICYCLES INC",2865.74000000,2860.00000000
"BOB'S BICYCLE SHOP",2861.78333333,2856.66666667
"OAKDALE BICYCLE SHOP",2860.87000000,2860.00000000
"HILLCREST BIKE SHOP",2860.87000000,2860.00000000
"BASE CAMP INC",2859.69000000,2857.10000000
"TEAM SCHWINN",2858.85000000,2850.00000000
"BICYCLING TECHNIQUES",2858.15000000,2850.00000000
"BIKES USA",2856.70000000,2848.63636364
"ANTHONY'S BIKE & KEY SHOP",2851.88500000,2850.00000000
"QUALITY BICYCLE SALES & SVC",2851.63000000,2850.00000000
"BIKE BROKER INC",2851.38250000,2847.50000000
"BIKE WORKS",2846.11714286,2840.00000000
"TRIMSPORT CYCLE",2845.30333333,2840.00000000
"JAVA CYCLES & REPAIR",2842.89000000,2840.00000000
"LE TOUR CYCLERY INCORPORATED",2841.66000000,2835.00000000
"WEST END BICYCLES",2841.17000000,2837.50000000
"GNO CYCLERY",2838.76500000,2825.00000000
"BEVERLY FENCE CO",2836.81500000,2825.00000000
"THE GOLDEN RING BICYCLE SHOP",2836.55000000,2830.00000000
"RENAISSANCE CYCLERY",2836.49000000,2830.00000000
"THE BICYCLE LINK",2835.01000000,2830.00000000
"IMMEL BICYCLE CENTER",2832.88000000,2815.00000000
"ISLAND BIKE & SURF SHOP",2830.70500000,2825.00000000
"DYNAMIC BIKES",2829.96000000,2825.00000000
"BICYCLE SHOP",2829.18000000,2825.00000000
"GILLY'S BIKE SHOP",2824.16000000,2820.00000000
"THE GREAT ESCAPE",2820.87000000,2815.00000000
"EVERGREEN SPORT CYCLE",2820.07000000,2820.00000000
"G N GONZALES INC",2819.00000000,2815.00000000
"BICYCLE MICHAEL'S",2817.15000000,2810.00000000
"THE TWO WHEELER DEALER",2815.97000000,2810.00000000
"TROY'S BIKES",2812.02000000,2810.00000000
"DOMENIC'S CYCLING",2809.64000000,2800.00000000
"CLASSIC BICYCLES INC",2801.33000000,2796.66666667
"PEDALERS PLACE CYCLE & SKI SHP",2800.12000000,2800.00000000
"DON'S BIKE REPAIR",2797.58333333,2793.33333333
"KING'S CYCLERY",2795.49166667,2748.31833333
"THE RIGHT GEAR",2795.16500000,2790.00000000
"BIKE ROUTE",2793.65571429,2787.14285714
"BIKE & SPRT OUTFITTERS",2793.36000000,2790.00000000
"U S BIKE A INC",2790.96000000,2790.00000000
"CLAYTON VALLEY BICYCLE CENTER",2788.32000000,2780.00000000
"MIDDLETON CYCLE AND FITNESS",2781.42000000,2780.00000000
"YANKEE PEDDLER BICYCLES",2780.32000000,2780.00000000
"HARBOR BIKE & SKI",2779.98500000,2775.00000000
SPORTMART,2779.83200000,2774.00000000
"RACE N RIDE BICYCLE",2779.24000000,2770.00000000
"SPOKE N TRAIL INC",2778.66500000,2775.00000000
"FISHKIN BROS INC",2777.27000000,2770.00000000
"EMERYS HOME FITNS & BIKE CTRS",2773.80000000,2770.00000000
"MR BICYCLE",2773.79500000,2770.00000000
"BIKE BARN",2772.76250000,2765.00000000
"FAMILY BIKE EXCHANGE",2772.30000000,2770.00000000
"BICYCLE SERVICE CENTER",2771.92000000,2770.00000000
"SCHWAB CYCLES",2771.91000000,2770.00000000
"LANE BROTHERS MART",2771.91000000,2770.00000000
"BICYCLE GARAGE OF INDY",2771.89000000,2770.00000000
"RRB TREK BICYCLES & FITNESS",2771.55000000,2770.00000000
"CROMER'S ACE SUPER BIKE WORLD ALEDO",2771.48000000,2765.00000000
"GREAT LAKES CYCLING & FITNESS",2771.46000000,2770.00000000
"METRO BIKES INC",2769.44000000,2760.00000000
EVERYBODY'S,2768.43000000,2750.00000000
"SKI SURF SHOP",2768.36000000,2760.00000000
"CYCLE TECH",2763.31500000,2760.00000000
"CUTTING EDGE SPORTS",2762.70000000,2760.00000000
"ONTARIO BICYCLE",2762.36000000,2755.00000000
"KOSLOW CYCLE INC",2760.70000000,2760.00000000
"EAST RIDGE BICYCLES",2760.50000000,2760.00000000
"RUDY'S SCHWINN CYCLE & FITNESS",2759.52000000,2750.00000000
"VALLEY BICYCLES",2758.88000000,2750.00000000
"THE BICYCLE SHOP",2757.68000000,2752.85714286
"DOWNRIVER CYCLE CENTER",2755.77000000,2750.00000000
"G L KEYES INC",2755.63000000,2750.00000000
"TODD'S SCHWINN BICYCLES",2753.02000000,2750.00000000
"FUN SPORT BIKES",2751.99000000,2750.00000000
"HANDY BIKES CORP",2751.99000000,2750.00000000
"CYCLE WORLD",2751.02000000,2745.00000000
"INTERWHEEL SPORTS INC",2749.56000000,2740.00000000
"ART'S CYCLING & FITNESS",2748.64000000,2740.00000000
"BRIDGEPORT CYCLERY",2747.72000000,2740.00000000
"VERONA CYCLE SHOP",2747.72000000,2740.00000000
"ESCAMBIA SCHWINN CYCLERY",2747.72000000,2740.00000000
"IRA'S BIKE SHOP",2747.72000000,2740.00000000
"MCDOWELL BICYCLE SHOP",2747.72000000,2740.00000000
"CAG'S CYCLES",2747.72000000,2740.00000000
SCHWINN,2746.04500000,2740.00000000
"VAN CAMP'S BICYCLE SHOP",2745.53250000,2740.00000000
"CLACKAMAS CYCLE WORLD",2745.30000000,2740.00000000
"OCOEE BICYCLE SHOP",2745.30000000,2740.00000000
"BROOKE 'N' BRI'S INC",2742.48000000,2740.00000000
"CALHOUN CYCLE",2742.37000000,2740.00000000
"THE BIKE SHOP",2740.33076923,2716.59307692
"CALABASH BICYCLE REPAIRS",2737.08000000,2730.00000000
"BIKE RX",2737.08000000,2730.00000000
"MICHAEL'S BICYCLES",2737.08000000,2730.00000000
"KEVIN'S BIKES",2737.08000000,2730.00000000
"ENCORE CYCLE & FITNESS",2737.08000000,2730.00000000
"BIKE BUILDERS",2736.65000000,2730.00000000
"MOORPARK SCHWINN BIKE SHOP",2734.40000000,2730.00000000
"EARTH RIDERS BICYCLE SHOP",2733.61000000,2730.00000000
"OK BIKE SHOP",2732.56333333,2726.66666667
"SCHWINN SHIRARS BIKE & FITNS",2732.27333333,2721.66666667
"PLANETARY CYCLES",2730.11000000,2730.00000000
"DAKOTA CYCLERY",2726.00200000,2720.00000000
"OAK RIDGE BICYCLE CENTER",2725.69000000,2720.00000000
"BRIELLE CYCLERY",2723.62000000,2720.00000000
"DAKOTA OUTDOORS",2723.00166667,2718.33333333
"MONTGOMERY CYCLERY INC",2722.53666667,2712.08333333
"CAMPUS BIKE SHOP",2722.05000000,2720.00000000
"BICYCLE SHOPPE",2722.05000000,2720.00000000
"ACTION BIKE SHOP",2719.92500000,2685.00000000
"OLYMPIA CYCLE",2715.06000000,2710.00000000
"FRIDRICH BICYCLE INC",2714.84000000,2710.00000000
"THE BICYCLE TRIP",2713.41000000,2700.00000000
"MAPLEWOOD SCHWINN CYCLING",2707.42000000,2700.00000000
"KENTUCKIANA BICYCLE STORE",2706.41750000,2696.25000000
"ESCALON BIKE SHOP",2705.68000000,2700.00000000
"BICYCLE WORLD TOO INC",2705.42000000,2700.00000000
"THE BIKE STOP",2704.71000000,2700.00000000
"ALSIP SCHWINN CYCLERY",2704.65000000,2700.00000000
"SPOKE AND PEDAL",2703.05500000,2695.00000000
"GEARING UP",2702.47000000,2700.00000000
"PACIFIC BICYCLE CO",2701.85000000,2700.00000000
"VERTICAL SPORTS",2701.30000000,2700.00000000
"PRO CYCLE CENTERS",2701.30000000,2700.00000000
"VILLAGE BICYCLE CENTER",2694.99000000,2690.00000000
"PR PATH SCHWINN CYCL & FITNS",2694.93000000,2690.00000000
"BOZO CYCLES",2692.99000000,2690.00000000
"RACQUET MASTER BIKE AND SKI",2692.91000000,2690.00000000
"BIKERS AMERICA",2689.39000000,2680.00000000
"THE SKI & SPORT HAUS",2688.36000000,2680.00000000
"PED'LIN AROUND",2687.95000000,2680.00000000
"DOTHAN CYCLE & FITNESS",2683.05000000,2680.00000000
"BMX RACING ZONE",2682.95500000,2675.00000000
"EDUCATIONAL MEDIA INC",2682.49000000,2680.00000000
"TONY'S RADICAL SPORTZ",2680.14000000,2680.00000000
"BARRETT'S BICYCLE BARN",2680.14000000,2680.00000000
"FAIR WHEEL BIKES",2680.14000000,2680.00000000
"CARL'S GAS SERVICE",2679.52000000,2598.84500000
"MIKE'S BIKES",2678.69833333,2673.33333333
"RIDE-N STRIDE",2678.56500000,2675.00000000
"CAMDEN COUNTY BICYCLE CENTER",2676.78000000,2670.00000000
"RIDGE CYCLERY",2673.76000000,2670.00000000
"BTR CYCLE & HOBBIES",2673.73333333,2661.66666667
"RENO BICYCLE CENTER",2673.15000000,2670.00000000
"BIKE & BOARD",2672.14000000,2670.00000000
"BIKES AND MOORE",2671.33133333,2661.66666667
"HAWLEY'S BICYCLE WORLD",2670.05600000,2665.40200000
"CONTES BICYCLE & FITNESS EQUIP",2670.04000000,2663.33333333
"GRAND WEST OUTFITTERS",2669.52000000,2665.00000000
"BREAKAWAY CYCLERY",2668.30000000,2660.00000000
"TAYLOR VAN",2666.99000000,2660.00000000
"BEVERLY CYCLERY",2664.93000000,2660.00000000
"LAWVER'S BICYCLE SHOP",2664.15200000,2658.00000000
"HANDLEBAR BICYCLE SHOP",2663.95500000,2660.00000000
"GLIDE BICYCLE",2663.62000000,2650.00000000
"PEDERSEN'S SKI & SPORTS ",2662.85000000,2660.00000000
"PETE'S CYCLE CO INC",2662.20000000,2660.00000000
TRI-ATHLETICS,2662.18000000,2660.00000000
"NASHVILLE BICYCLE COMPANY",2661.34500000,2660.00000000
"WASHTENAW CYCLE & FITNESS",2657.30000000,2655.00000000
"BIKES AMERICA",2656.41000000,2650.00000000
"AGGIE BIKE STATION",2654.00000000,2650.00000000
"PACELINE CYCLERY",2653.82000000,2650.00000000
"BAY SPORTS",2653.77333333,2646.66666667
"KOHLMANN'S BIKE SHOP",2649.26500000,2645.00000000
BIKELAND,2649.15500000,2645.00000000
"BICYCLE SPORT INC",2648.55600000,2639.00000000
"BECKWITH BICYCLES",2648.46000000,2640.00000000
"KAUFMAN SCHWINN CYCLERY",2648.20000000,2640.00000000
"RECYCLED CYCLES",2647.84333333,2643.33333333
"RRB CYCLES LTD",2646.43571429,2641.42857143
"MAC'S BIKE SHOP",2646.14000000,2640.00000000
"MOUNT MORIAH BICYCLE COMPANY",2644.15000000,2640.00000000
"E'TOWN SCHWINN CYCLERY",2643.77500000,2635.00000000
"PEDAL POWER",2641.99000000,2640.00000000
"TURNER'S CYCLING AND FITNESS",2641.63000000,2640.00000000
"MURFREESBORO BICYCLE COMPANY",2641.45000000,2624.00000000
"TRAIL SPORTS",2641.02000000,2640.00000000
"BRAESWOOD BIKE-N-HIKE",2640.99500000,2635.00000000
"MILL RACE CYCLERY",2640.82000000,2635.00000000
"BICYCLE CENTER",2640.66333333,2636.66666667
"JAY'S PEDAL POWER BICYCLE SHOP",2640.52000000,2640.00000000
"BIKESOURCE OF PITTSBURGH",2637.82500000,2635.00000000
"SHIPLEY'S BICYCLE SHOP",2637.75000000,2630.00000000
"AMERCN CTR FOR BIKE REGIS",2637.13000000,2630.00000000
"OPEN ROAD BICYCLES",2637.13000000,2630.00000000
"A-1 BIKE SHOP",2636.47000000,2630.00000000
"BESTWAY RACING",2636.18000000,2630.00000000
"HUTCH'S BICYCLE STORE",2635.49000000,2630.00000000
"YELLOW JERSEY",2635.33500000,2625.00000000
"RAINBOW CYCLES INC",2634.08000000,2630.00000000
"CYCLETECH BICYCLE SHOPS",2632.05000000,2630.00000000
"CLIFTON SPEED CENTER INC",2632.05000000,2630.00000000
"FAMILY BIKE & SPORTS",2630.95000000,2630.00000000
"BICYCLE POST INC",2630.27500000,2625.00000000
"HOWELL CYCLE",2629.04000000,2620.00000000
"DAVE'S CYCLE SHOP",2628.55900000,2619.00000000
"AWESOME CYCLES",2626.83000000,2623.33333333
"THE BICYCLE LIVERY",2626.64000000,2620.00000000
"AVILLA BICYCLE SERVICE",2625.70000000,2620.00000000
"BICYCLE CENTER OF CLARKSVILLE",2624.92200000,2617.00000000
"HAMPTON SCHWINN CYCLERY",2624.19000000,2620.00000000
"AZALEA BICYCLE SHOP",2624.19000000,2620.00000000
FAD-TASTIC,2621.49500000,2615.00000000
"THE PEDDLER",2618.24000000,2610.00000000
"D & D BICYCLE",2618.24000000,2610.00000000
"DOUBLE WHEEL STORES",2616.44333333,2610.00000000
"AMLING'S CYCLE & FITNESS",2616.34000000,2610.00000000
"EL PASO BIKE CENTER",2615.79500000,2615.00000000
"MOORE'S BICYCLE SHOP",2615.67000000,2462.50000000
"CARBIKE COMPANY",2615.49000000,2610.00000000
"MARTIN CNTY SCHWINN CYCLING",2614.42000000,2610.00000000
"KEY LARGO BIKE'S",2612.69500000,2590.00000000
HYDRO-BIKES,2612.66250000,2607.80250000
"NORDIK BIKE-SKI & PATIO",2611.57000000,2605.00000000
"BAY AREA SCHWINN CYCLING",2611.36500000,2607.50000000
"TEXAS CYCLE",2609.99000000,2600.00000000
"CHESTERTON BICYCLE STATION",2609.99000000,2600.00000000
"HITE'S BIKE SHOP",2609.99000000,2600.00000000
"CHAMP SCHWINN CYCLING & FITNS",2609.99000000,2600.00000000
"MARK'S CYCLE CORNER",2609.95000000,2603.33333333
"JERRY & SPARKYS BIKE SHP INC",2608.88500000,2605.00000000
"HIGHLAND CYCLE INC",2608.80200000,2598.00000000
"GATEWAY PERFORMANCE OUTFITTERS",2607.60000000,2600.00000000
"EDDIE O'S",2604.83000000,2600.00000000
"THE PRO BIKES",2603.34000000,2600.00000000
"SAM & RICK BICYCLES",2601.71333333,2600.00000000
"CITY CYCLES OF HOUSTON",2595.49000000,2590.00000000
"OPEN ROAD BICYCLE SHOP",2594.98000000,2590.00000000
"TRY ME BICYCLE SHOP",2591.29000000,2575.00000000
"J B CYCLE & SPORT",2590.39500000,2585.00000000
"DEKALB SCHWINN CYCLERY",2589.56000000,2585.00000000
"ART'S CYCLE & HOBBY SHOP",2586.22000000,2580.00000000
"RADICAL RIDERS BMX",2584.68500000,2580.00000000
"WRIGHT BROS CYCLERY & FITNS",2583.33555556,2574.16666667
"MILLER'S CYCLING & FITNESS",2581.62666667,2576.66666667
"EARTHSPORTS INC",2579.45000000,2570.00000000
"BILL'S DISCOUNT BICYCLE SHOP",2579.45000000,2570.00000000
"MONTGOMERY HOBBY & CYCLE",2577.62666667,2573.33333333
"ROTRAX CYCLES",2577.38500000,2575.00000000
"LAACKE & JOYS CO",2576.10666667,2563.33333333
"RIVERSIDE BIKE & SKATE",2570.64666667,2566.66666667
"CYCLE SPORTS & FITNESS",2570.54500000,2565.00000000
"HOG WILD BICYCLES",2568.12666667,2561.66666667
"GORILLA BICYCLE & FITNESS",2565.45000000,2560.00000000
"OPEN AIR BICYCLES",2565.00000000,2555.00000000
"REI-RECREATIONAL EQUIPMENT INC",2563.83571429,2551.78571429
"AL'S BICYCLES",2561.03250000,2557.50000000
"JERRY'S BICYCLES & FITNESS",2558.97000000,2540.00000000
"HANDLEBAR HARRY'S BIKE SHOP",2558.80000000,2555.00000000
"BIKE WORLD",2557.62000000,2551.00000000
"TJ'S FUDGE CYCLE",2557.57000000,2555.00000000
"BIKES PLUS",2557.09666667,2553.33333333
"CONROE SCHWINN CYCLING & FITNS",2554.21000000,2525.00000000
"WALTON TRAIL CO",2554.00000000,2550.00000000
"SCHOLL'S BICYCLE CENTER",2551.17500000,2545.00000000
"BIKE RACK INC",2550.76000000,2545.00000000
"YELLOWSTONE BICYCLES",2549.99000000,2540.00000000
TEMPO,2547.93000000,2540.00000000
"EZ PAWN",2545.99500000,2540.00000000
"LITTLE ADES BICYCLES & REPAIRS",2543.78000000,2540.00000000
"SOUTHLAND BICYCLE SHOP",2543.60666667,2540.00000000
"FARGO BIKE SHOP",2543.12000000,2540.00000000
"PRECISION BICYCLE",2542.99833333,2538.33333333
"MOUNTAIN BIKE INNOVATIONS",2541.06500000,2535.00000000
"BELLAIRE BICYCLE SHOP",2540.03000000,2438.22000000
"ENFIELD BICYCLE SHOP",2540.02000000,2540.00000000
"ALTAMONTE CYCLING & FITNS CTR",2538.19000000,2530.00000000
"LAYBOURN'S BIKES",2537.68000000,2530.00000000
"LEE'S LOCKSMITH & BICYCLE SHOP",2537.68000000,2530.00000000
"EAST COASTERS CYCLING & FITNS",2537.68000000,2530.00000000
"METROPOLIS BICYCLES",2536.93400000,2532.00000000
"BIKES ETC",2535.93000000,2530.00000000
"BADEN BIKE CENTER",2535.43250000,2527.50000000
"BICYCLE WAREHOUSE CO",2534.85400000,2530.00000000
"SPOKESMAN BIKE SHOP",2533.35000000,2530.00000000
"VISALIA CYCLERY",2533.35000000,2530.00000000
"THE BIKERY",2531.32000000,2530.00000000
"WANDERING WHEELS CYCLERY",2531.32000000,2530.00000000
"THE CYCLESMITH",2531.32000000,2530.00000000
"B & L BIKE & SPORTS",2531.32000000,2530.00000000
"VILLAGE BIKES INC",2528.47500000,2522.50000000
"BIKE RITE",2527.23000000,2525.00000000
"BIKE SHOP AT THE SKI BARN",2526.14000000,2520.00000000
"THE NEW SEAL BEACH CYCLE",2526.14000000,2520.00000000
"MIKE'S CYCLE CITY",2524.09000000,2520.00000000
"REI-RECREATIONAL EQUIP INC",2522.03000000,2520.00000000
"PACELINE BICYCLE SHOP",2522.03000000,2520.00000000
"PEDALS PLUS BICYCLE SHOP",2518.91714286,2514.28571429
"INDIAN RIVER TRADER",2517.73000000,2510.00000000
"BIKE KING",2516.33000000,2510.00000000
"GOODROAD SPORTS",2516.33000000,2510.00000000
"THE BICYCLE SHACK",2516.04000000,2510.00000000
"BICYCLES ETC",2515.82444444,2513.33333333
"BIKE CONNECTION",2514.92000000,2510.00000000
"MARTINS SCHWINN CYCLING",2513.82000000,2502.50000000
"BETAT BICYCLES INC",2513.60000000,2510.00000000
"CLAIRE EAU CYCLE",2512.98666667,2505.00000000
"SPECTRUM CYCLES",2511.78000000,2510.00000000
"WHEEL BASE INC",2509.86000000,2500.00000000
"BINGHAM CYCLERY",2509.80000000,2500.00000000
"L & B BICYCLES",2508.84000000,2500.00000000
"KEGEL'S BICYCLE SHOP LTD",2508.84000000,2500.00000000
"JERRY'S DEALS ON WHEELS",2508.84000000,2500.00000000
"NORTH KENT SCHWINN",2506.65000000,2500.00000000
"SPINOZA'S BIKE REPAIR ETC",2505.96000000,2500.00000000
"BEST AT THE BEACH",2505.06000000,2500.00000000
"PEDAL PUSHERS BICYCLE",2505.06000000,2500.00000000
"TOWN & COUNTRY CYCLERY",2505.06000000,2500.00000000
"ISLAND BIKES",2504.61000000,2500.00000000
"BIKE EXPRESS OF NEW MILFORD",2500.36000000,2500.00000000
"LICKTON'S CYCLE CITY",2499.81000000,2490.00000000
"BIKE & FITNESS LAS COLINAS",2499.81000000,2490.00000000
"HANSEN CYCLE CO",2499.81000000,2490.00000000
"PACIFIC BICYCLE",2499.64000000,2490.00000000
"BLOOMFIELD BIKE INC",2497.61000000,2475.00000000
"SPEED CYCLE",2497.46600000,2492.00000000
"MODERN BIKE",2496.52000000,2450.00000000
"PEACHTREE CITY PEDAL POWER CO",2495.89000000,2490.00000000
"PETALUMA CYCLERY",2495.89000000,2490.00000000
"THE BIKE ROUTE",2495.77000000,2488.57142857
"DELGADO'S BICYCLE SERVICE",2495.18000000,2490.00000000
"EASTSIDE BIKE",2494.29333333,2490.00000000
"ABC CYCLE",2491.99000000,2475.00000000
"NOVA CYCLING & FITNESS",2491.66750000,2486.25000000
"ERA SKI & BIKE SHOP",2491.54000000,2490.00000000
"BICYCLE ANNEX",2488.58000000,2480.00000000
"PEREGRINE CYCLE",2488.08000000,2480.00000000
"NORTH STAR BIKES & BOARDS",2488.08000000,2480.00000000
"SCORPION BICYCLE",2487.22333333,2480.00000000
MONKEYWORKS,2485.46000000,2480.00000000
"BIKE CENTER",2485.25000000,2480.00000000
"ROCHESTER CYCLING & FITNESS",2485.25000000,2480.00000000
"FULL CYCLE",2485.25000000,2480.00000000
"SPORTS PLUS",2485.23000000,2480.00000000
"SUBURBAN CYCLE",2483.74000000,2480.00000000
"MERCED BIKE",2483.55500000,2480.00000000
"O'NEIL'S BICYCLE & SKI SHOP",2483.28000000,2480.00000000
"DEL MAR CYCLE WORKS",2483.28000000,2480.00000000
"PROJECT BIKE SHOP",2483.28000000,2480.00000000
"PHAT TIRE",2480.98000000,2480.00000000
"HIGH'S CYCLE CENTER",2480.03333333,2473.33333333
