storename,Count,SUM(p.saleprice)
"UPTOWN CYCLERY & SPORT",1,2900.0000
"EARTHSPORTS INC",1,2570.0000
"A-1 BIKE SHOP",1,2630.0000
"AMERCN CTR FOR BIKE REGIS",1,2630.0000
"BLACKSMITH BICYCLE WHEELS",1,3090.0000
"PACE BICYCLE HAVEN",1,2870.0000
"OPEN ROAD BICYCLES",1,2630.0000
"OPEN ROAD BICYCLE SHOP",1,2590.0000
"BILL'S DISCOUNT BICYCLE SHOP",1,2570.0000
"THE BROKEN SPOKE RECYCLERY",1,3180.0000
"DIAMOND CYCLE CENTER",1,3030.0000
"ALTAMONTE CYCLING & FITNS CTR",1,2530.0000
"EXCELLENT BIKES",1,2450.0000
"NILES SKI & BIKE A SPCLTY STR",1,2390.0000
"CLARKSVILLE SCHWINN & FITNESS",1,2420.0000
"YANKEE PEDDLER BICYCLES",1,2780.0000
"KOBUSH MARINA JCT",1,2410.0000
"BIKESMITH INC",1,2320.0000
"BOB'S BIKE SHOP",1,2400.0000
"TEAM SCHWINN",1,2850.0000
"SPORTS PLUS",1,2480.0000
"TWO-WHEEL TRANSIT",1,2390.0000
"SCHWINN CITY",1,2350.0000
OMNIBIKE,1,2430.0000
"EDUCATIONAL MEDIA INC",1,2680.0000
"BICYCLE EXPRESS INC",1,2420.0000
"SPINOZA'S BIKE REPAIR ETC",1,2500.0000
"FOREST LAKE CYCLE & SKATE",1,2320.0000
"FOUR SONS CYCLERY",1,2920.0000
"OLYMPIA CYCLE",1,2710.0000
"EASTBANK SCHWINN",1,2430.0000
"K & G BIKE CENTER",1,2380.0000
"JOHN SCHWINN ADAMS CYCLERY",1,2430.0000
"KRISTI MOUNTAIN SPORTS",1,2460.0000
"VAL'S CYCLERY",1,2470.0000
"BICYCLE BARN",1,3020.0000
"TOMMY'S BICYCLES & FITNESS",1,3130.0000
"S & S CYCLES",1,3280.0000
"ZEELAND SCHWINN CYCLE & FITNS",1,3260.0000
"DISCOUNT PEDDLER",1,3160.0000
"TULLIO'S BIG DOG CYCLERY",1,3330.0000
"PATTERSON SCHWINN CYCLERY",1,3490.0000
"SARASOTA SCHWINN CYCLERY INC",1,3450.0000
"PAULS SCHWINN CYCLING & FITNS",1,3440.0000
"BIKE TREK",1,5320.0000
"MYSTIC CYCLE CENTRE",1,5280.0000
"F & M CYCLERY",1,5710.0000
"BIGHORN WILDERNESS EQUIPMENT",1,5210.0000
"MISSION CYCLERY",1,6310.0000
"TWO WHLR DLR CYCL & FITNS STRS",1,1750.0000
"AXLER'S BICYCLE CORNER",1,1700.0000
"HASSLE FREE SPORTS",1,1550.0000
"MICKY FRANKLIN'S BIKE LAND",1,1650.0000
"BICYCLE GARAGE INC",1,1675.0000
"HARPER'S CYCLING & FITNESS",1,1625.0000
"TOWN & COUNTRY BICYCLE SHOP",1,1975.0000
"BISESIS BICCYLE & FITNESS CTR",1,1550.0000
"BIKE SOURCE",1,1700.0000
"THE SPORT CONNECTION",1,1750.0000
"BICYCLE SOUTH WINDSOR",1,1925.0000
"BUCKHEAD BICYCLE'S INC",1,1750.0000
"JML SALES CO",1,2450.0000
"MILHAUPT'S BICYCLE WORKS",1,2360.0000
"EAST RIDGE BICYCLES",1,2760.0000
"MARIN MOUNTAIN BIKES",1,2290.0000
"ADVENTURE CYCLES INC",1,2300.0000
"CUTTING EDGE SPORTS",1,2760.0000
"WITTY'S CUSTOM ACCESSORIES",1,2470.0000
"FIRST CHOICE BICYCLE",1,2330.0000
"COPPI FAUSTO",1,2330.0000
"MAPLEWOOD SCHWINN CYCLING",1,2700.0000
"MIKE'S BICYCLE ADVENTURE",1,3020.0000
"RINI'S BICYCLE SHOP",1,2420.0000
"AMERITECH CYCLING",1,2260.0000
"MAPLEWOOD BICYCLE",1,2270.0000
"MILTON CYCLERY",1,2370.0000
"BILSON'S SPORT SHOP",1,2380.0000
"ROBERT F SNOW & SON",1,2350.0000
"SPOKES ETC",1,2370.0000
"MEMPHIS BICYCLE CO",1,2290.0000
"PACK RAT OUTDOOR CENTER",1,2350.0000
"BICYCLE MICHAEL'S",1,2810.0000
"BICYCLES BY CLEAN MACHINE",1,2410.0000
"BEST BICYCLES",1,3050.0000
"NORDA'S MOUNTAIN OUTFITTERS",1,2370.0000
"WALTON TRAIL CO",1,2550.0000
"MIKE'S BIKES OF WALDORF",1,3150.0000
"NITTEN USA",1,3190.0000
"BINGHAM CYCLERY",1,2500.0000
"NOKOMIS CYCLE",1,2450.0000
"RAY TAKSAR BICYCLES",1,2390.0000
BIKEWORKS,1,2450.0000
"INTOWN BICYCLES",1,2300.0000
"DUNWOODY SCHWINN ATLANTA CYCL",1,2330.0000
"BIKES BY THE BAY",1,2380.0000
"KRAYNICK'S BIKE SHOP",1,2400.0000
"ART DOYLE'S SPOKES & PEDALS",1,2270.0000
"FENSONS GRT OUTDOORS BIKE",1,2370.0000
"TOWPATH BIKE STOP",1,2090.0000
"PLANO CYCLING & FITNESS",1,2140.0000
"EMERYS HOME FITNS & BIKE CTRS",1,2770.0000
"SOUTH SALEM CYCLEWORKS",1,2120.0000
"WALLY'S BIKE HAVEN",1,2160.0000
"ACTIONSPORT CYCLERY",1,2220.0000
"CARTY'S BIKE SHOP",1,2470.0000
"TOP OF THE HILL CYCLES",1,2100.0000
"AVILLA BICYCLE SERVICE",1,2620.0000
"BRIELLE CYCLERY",1,2720.0000
"DOTHAN CYCLE & FITNESS",1,2680.0000
"THE BICYCLE CENTRE",1,2100.0000
"BOB LADD INC",1,2250.0000
"VICENTIO BIKE SHOP",1,2120.0000
"HILL'S SPORT SHOP",1,2210.0000
"CENTRAL COAST CYCLE",1,2130.0000
"BIKE CENTER OF ORANGE COUNTY",1,2190.0000
"BUILERS SCHWINN CYCLING",1,2160.0000
"JAY'S PEDAL POWER BICYCLE SHOP",1,2640.0000
"QUICK SERVICE BICYCLE SHOP",1,2420.0000
"THE SPORTS PEOPLE",1,2100.0000
"RST SHOCKS",1,2120.0000
"BICYCLE QUEST & COLLECTABLES",1,2380.0000
"DC CYCLERY & FITNESS",1,2110.0000
"ASHLAND CYCLES",1,2020.0000
"AMERICAN RIVER BICYCLE CENTER",1,2320.0000
"FREEWHEEL BIKE SHOP",1,2120.0000
"ANDALUSIA CYCLE",1,2220.0000
"ORLAND PARK SCHWINN CYCLERY",1,2040.0000
"WILDERNESS OUTPOST",1,2010.0000
"ALL SEASONS SPORTS",1,2340.0000
"BASELINE BICYCLES",1,1690.0000
"JAY'S CYCLES",1,1660.0000
"VALLEJO CYCLERY",1,2040.0000
"OAK PARK CYCLERY LTD",1,1670.0000
"BIKE ROUTE INC",1,1770.0000
"A & B OUTDOOR EQUIPMENT",1,1820.0000
"AERO SCHWINN",1,2010.0000
"LE JOUET INC",1,1650.0000
CYCOPATH,1,1640.0000
"FUN BUNNS BEACH RENTALS",1,1560.0000
"TEN SPEED DRIVE BICYCLE CTRS",1,1660.0000
"MEL'S BICYCLE SHOP",1,1580.0000
"BUD'S BIKE SHOP",1,1600.0000
"THE BIKE DOCTOR",1,1620.0000
"CLASS CYCLES",1,1660.0000
"CALIFORNIA PEADLER",1,1650.0000
"LAGUNA BEACH CYCLE & FITNESS",1,2070.0000
"CYCLEPATH SCHWINN CYCLERY",1,1620.0000
"ROOSEVELT VARIETY",1,1850.0000
"BALLWIN SCHWINN",1,2310.0000
"SPECTRUM CYCLES",1,2510.0000
"BIG RALPHS SCHWINN CYCLING",1,2410.0000
"PEDAL POWER INC",1,2370.0000
"PACIFIC BICYCLE",1,2490.0000
"BOOKENDS BIKE SHOP",1,2440.0000
"CRANFORD BIKE SHOP",1,3290.0000
"PRIMO BICYCLE WORKS INC",1,3920.0000
"DEBO'S BIKE SHOPPE",1,3400.0000
"ELEPHANT'S PERCH",1,3800.0000
"RICE STREET BICYCLE",1,4020.0000
"MOORPARK SCHWINN BIKE SHOP",1,2730.0000
"BOB'S BIKES INC",1,3460.0000
"SUN CITY CYCLERY",1,3530.0000
"BIKE BARN BICYCLE & FITNS STRS",1,1375.0000
"EXPEDITION OUTFITTERS",1,1450.0000
"SPOKES CYCLERY",1,1450.0000
"BIKE TRAIL",1,1400.0000
"WEBSTER BICYCLE",1,1450.0000
"WSTRN SCHWINN CYCLERY & FITNS",1,1400.0000
WHEATON'S,1,1400.0000
"STADIUM BIKE & SKATE",1,1500.0000
"JOHNSON'S CYCLE & FITNESS INC",1,2151.9000
"MOUNTAIN SPORTS",1,1575.0000
"AGGIE BIKE STATION",1,2650.0000
"DENVER'S SPOKE SHOPS",1,2900.0000
"NAT'S OUTDOOR SPORTS",1,2280.0000
"LIBERTY BICYCLES",1,2280.0000
MADRAX,1,2420.0000
"FINE EDGE",1,2880.0000
"SPIN CYCLE",1,2310.0000
"NEVADA CYCLES",1,2220.0000
"GORILLA BICYCLE & FITNESS",1,2560.0000
"MORELLO'S BIKE VILLAGE",1,2080.0000
"R & R BICYCLE FITNESS STORE AZ",1,2280.0000
"SCOTT'S CYCLERY",1,2250.0000
"DESCHUTES RIVER CYCLERY",1,2310.0000
"BEAUFORT BIKE SHOP",1,2980.0000
"MIAMI BEACH BICYCLE CENTER",1,3010.0000
"ROCKY TOP TRAIL SHOP",1,2270.0000
"BIKESPORT INC",1,2250.0000
"BUSTER'S BICYCLE SHOP",1,2090.0000
"WILD BILL'S BIKE CENTER",1,1990.0000
"INCYCLE & CYCLING ASSOCS CO",1,2080.0000
"PEDAL POWER CYCLE & FITNESS",1,1960.0000
"BIKE N GEAR",1,2050.0000
"THE BICYCLE SOURCE",1,2180.0000
"R-D BIKE SHOP",1,2040.0000
"LODI SCHWINN",1,2020.0000
"SKI CHALET",1,2340.0000
"BIKE EXPRESS OF NEW MILFORD",1,2500.0000
"FAIRVIEW CYCLE & LOCK INC",1,2060.0000
"BALBOA BICYCLE COMPANY",1,2140.0000
"MEYER'S DISCOUNT STORES",1,1950.0000
"AMERICAN CYCLIST",1,2010.0000
"TREK BICYCLE STORE",1,2010.0000
"ASSENMACHER'S CYCLING CENTERS",1,1960.0000
SPOKES,1,2230.0000
"LIFECYCLE SPORTS INC",1,1960.0000
"AL'S CYCLERY & FITNESS",1,1970.0000
"PEYTON'S BIKES",1,2250.0000
"SILVER BICYCLE CO THE",1,2030.0000
"LORI'S INC",1,2390.0000
"CORBIN'S REDONDO BICYCLE",1,2020.0000
"HUBER HTS CYCLING & FITNESS",1,1970.0000
"INDIAN RIVER TRADER",1,2510.0000
"PAGES SCHWINN CYCLING & FITNS",1,2390.0000
"FRASER SCHWINN CYCLING & FITNS",1,1880.0000
"EMIG'S BICYCLE SHOP",1,1970.0000
"GEORGE'S CYCLE SHOP",1,1890.0000
"PORTAGE SCHWINN CYCLERY",1,2190.0000
"BICYCLE MAN OF ORANGE",1,1810.0000
"CYCLE WIZARD",1,2290.0000
"BIKE KORNER INC",1,1750.0000
"ALBERT'S WESTWOOD CYCLE STORE",1,1830.0000
"QUIGLEY'S BICYCLE SHOP",1,1930.0000
"ED'S BIKE SHOP",1,1860.0000
"EAGLE BICYCLE SHOP",1,1710.0000
"SPOKE & WHEEL BIKE SHOP",1,2210.0000
"THE KICKSTAND INC",1,1620.0000
"PENNYFARTHING'S BICYCLES",1,1930.0000
"ROMAN'S BICYCLE SERVICE",1,1730.0000
"CENTURY BICYCLES",1,1960.0000
"HUFFY SERVICE FIRST",1,2150.0000
"MCCOY REPAIR SHOP",1,2230.0000
"FIT TO BE TRIED BIKE & OTDR",1,1750.0000
"THE BIKE WAVE",1,1670.0000
"MARTIN CNTY SCHWINN CYCLING",1,2610.0000
"YELLOWSTONE BICYCLES",1,2540.0000
"INTERNATIONAL BICYCLES",1,3450.0000
"BODELS BIKE SHOP",1,2360.0000
"BOLSA CHICA BICYCLES",1,1910.0000
"RICHARDSON BIKE MART",1,1890.0000
"TINLEY BICYCLE & FITNESS",1,1840.0000
"GUY'S BIKE SHOP",1,2180.0000
"RUPERT'S SPORT SHOP",1,2050.0000
"ERNIE'S BICYCLE SHOPS",1,2160.0000
"ACTION BIKES",1,1940.0000
"MEC CUSHMAN MOTOR SALES",1,1900.0000
"BIKE HAUS",1,1850.0000
"OLIVER BICYCLE SLS PARTS & RPR",1,1900.0000
"R C HALLETT WLD CHAMP BICYCLES",1,1830.0000
"FLAIMS RENTALS SALES & SERVICE",1,1810.0000
"KENTWOOD SCHWINN CYCLING",1,2040.0000
"WISE SALES AND SVC",1,1810.0000
"TREK & TRAIL",1,1810.0000
"TEAM BIG BEAR MTN BIKE CTR",1,1770.0000
"LORAIN TRISKETT SCHWINN",1,1780.0000
"WHEELS OF WELLINGTON",1,1740.0000
"VELO STORES INC",1,1760.0000
"SMITH CYCLERY CO",1,2000.0000
"SNIDER'S CYCLERY",1,1750.0000
"CYCLE WEST",1,1780.0000
"PAVLAT'S PRESTIGE CYCLES",1,1700.0000
"GLENN'S BICYCLE SHOP",1,1780.0000
"LO-FAT CYCLES",1,2000.0000
"CAPITOL CYCLERY AND FITNESS",1,1890.0000
"SPRING CITY CYCLE COMPANY",1,1890.0000
"HARRY'S BIKE SHOP",1,1890.0000
"JONES FAMILY CYCLERY INC",1,1700.0000
"VICTOR VLY BICYCLES & HOBBIES",1,1760.0000
"NOLL'S BICYCLE SHOP",1,1730.0000
MAXAM,1,1720.0000
"DAVE'S BIKE BARN",1,1800.0000
"SOUTH BAY BICYCLES INC",1,1750.0000
"JERRY'S NORTH VALLEY BICYCLE",1,2040.0000
"SNO-WHITE BICYCLES & POWERED EQUIPMENT",1,1740.0000
"BAER WHEELS",1,1710.0000
"NORTHEAST CYCLERY INC",1,2040.0000
"RUSSELLS CYCLE & FITNESS CTR",1,1760.0000
"BROWN'S BIKE SHOP",1,1730.0000
"ABOVE AND BEYOND SPORTS",1,1720.0000
"BRIGGS BICYCLES",1,1740.0000
"CASEY'S CLASSICS BIKE SHOP",1,1790.0000
"BICYCLE ONE",1,1740.0000
"THE PEDAL HOUSE",1,961.5400
"RAINBOW CYCLES",1,1200.0000
"FISHER CYCLERY",1,1375.0000
"PEDAL SHOP",1,1200.0000
"WESTERN HYDRO-BIKES",1,1250.0000
"HARBOUR TOWN BICYCLES",1,1150.0000
"GATEWAY BICYCLE",1,1500.0000
"BUSUTTILS MRNE CY SPORTN BIKE",1,1750.0000
"PEDDLER BICYCLE SHOP",1,1225.0000
"BICYCLE REPAIR CENTER",1,1720.0000
"BICYCLES SOUTH & BACKPACKING",1,1450.0000
"R & C CYCLING OF LAS VEGAS",1,1175.0000
"EMBRY'S BIKE DIVISION",1,1375.0000
"INTERNATIONAL BICYCLE & MOPED",1,1820.0000
"BICYCLE CITY",1,2360.0000
"THE BICYCLE AUTHORITY",1,2390.0000
"PEDAL PRO'S",1,2120.0000
"BICYCLES USA",1,1960.0000
"FREE FLITE BICYCLES",1,2430.0000
PAT'S,1,2120.0000
"JAMMER SPORTS INC",1,2350.0000
"WETHERSFIELD BICYCLE",1,1830.0000
"OSHKOSH CYCLERY INC",1,1860.0000
"CORA BIKE RACK INC",1,1870.0000
"DAVID'S WORLD CYCLE",1,2350.0000
"DR SPOKES CYCLERY",1,1910.0000
"FANDANGO OUTDOOR SUPPLY LLC",1,2130.0000
"AGEE'S BICYCLE CO",1,1950.0000
"BIG PINE SPORTS",1,2150.0000
"EASY RIDER BIKE INC",1,1730.0000
"TRI SPORTS INC",1,1770.0000
"DREXEL HILL CYCLERY",1,2390.0000
"WEST LIBERTY SCHWINN",1,1800.0000
"MCCULLY BICYCLE & SPORTING GDS",1,1830.0000
"MOUNTAIN MANIA BICYCLES",1,1880.0000
"NORTHAMPTON CYCLERY",1,1870.0000
"BICYCLE WORKS",1,2350.0000
"ROB AND CHARLIE'S",1,1840.0000
"SAM BENNETT'S SKI & SPORT",1,1770.0000
"SMALLIGAN'S BICYCLES",1,1790.0000
"BALBOA CYCLERY",1,1960.0000
"MATHIS CYCLE SHOP",1,1940.0000
"RICK'S BIKE SHOP",1,1660.0000
"VIRGINIA HEIGHTS BICYCLE SHOP",1,1690.0000
"C-TEAM CYCLERY",1,1700.0000
"DRITZ CYCLERY",1,1650.0000
"A B PEACHTREE BICYCLE CENTER",1,1660.0000
"OCEANFRONT BICYCLES",1,1640.0000
"LOMITA PRO BIKES",1,1720.0000
"RITE-WAY PRODUCTS",1,1720.0000
"FREEWHEELING BICYCLES",1,1760.0000
"NEW CANAAN CYCLERY",1,1680.0000
"CHARLIE'S BICYCLE SHOP INC",1,1620.0000
"COLLEGE CYCLERY",1,1640.0000
"SCHULING HITCH CO",1,1600.0000
"THRIFTY SCHWINN CYCLERY",1,1750.0000
"BICYCLE CONNECTION",1,1840.0000
"DAYE'S SALES & SERVICE",1,1580.0000
"BIKE & SAIL FUN & FITNESS CTR",1,1670.0000
"JIM'S BIKE SHOP",1,1880.0000
"NOW SPORTS",1,1600.0000
"INSIDE TRACK",1,1620.0000
"BMX EXPRESS",1,1560.0000
"WARES CYCLE & FITNESS",1,1620.0000
"XLM CORPORATION",1,1560.0000
"BICYCLE ZONE",1,1640.0000
"CARMEL SCHWINN CYCLING & FITNS",1,1660.0000
"VELO PRO BICYCLES",1,1650.0000
"BLAZING SADDLES BIKE RENTALS",1,1590.0000
"KIDDLES INCORPORATED",1,1660.0000
"MEADOWLANDS CYCLE CENTER",1,1590.0000
"OLYMPIC POWDER COATINGS",1,1600.0000
"COOPER'S BICYCLE CENTER",1,1620.0000
"SEA SCHWINN BICYCLE",1,1610.0000
"B & K BICYCLE CO",1,1880.0000
"PAUL'S BICYCLE WAY OF LIFE",1,1870.0000
KULSHAN,1,1560.0000
"SPOKES-N-WHEELS INC",1,1560.0000
"WOLFF CYCLE",1,1900.0000
"NATIONAL CYCLING INSTITUTE",1,1770.0000
"BICYCLE CENTER THE",1,1610.0000
"TEXAS SPORT CYCLERY",1,1610.0000
"OTTO'S CYCLERY",1,1860.0000
"SAFETY HARBOR CYCLE",1,1610.0000
"PAT'S SCHWINN CYCLERY INC",1,1870.0000
"BLACK'S BIKES OF BARTLESVILLE",1,1570.0000
"CALIFORNIA BIKE & SNOWBOARD",1,1880.0000
"SLOUGH'S BIKE SHOPPE",1,1760.0000
MOUNT,1,1660.0000
"LINDA YORBA BICYCLE CENTER",1,2020.0000
"AMERICAN CYCLING RESOURCE",1,2040.0000
"MOUNT TABOR BICYCLE REPAIR",1,2300.0000
"DISHER BIKE SHOP",1,2390.0000
"HELLEBUYCKS BIKE & MWR CTR INC",1,1980.0000
"PSYCHO CYCLES",1,2010.0000
"MILLER BIKE SHP BOUNCE BACK",1,2030.0000
"MARTY'S CYCLE CENTER",1,2200.0000
"BIKE AMERICA",1,2330.0000
"GATEWAY PERFORMANCE OUTFITTERS",1,2600.0000
"ROYAL SCHWINN CYCLERY",1,2320.0000
"DELGADO'S BICYCLE SERVICE",1,2490.0000
"NEWBERG BICYCLE SHOPPE",1,2270.0000
"S MAUI BICYCLES MAUIS",1,2330.0000
"NORTH EAST CYCLES",1,2300.0000
"VICTORS BICYCLE & SUPPLIES",1,2320.0000
"ROHNERT PARK CYCLERY",1,2350.0000
"RIVER TRAIL BICYCLES",1,2470.0000
"GORILLA FITNESS EQUIPMENT",1,2270.0000
"WHITMAN BIKE & FITNESS",1,2130.0000
"THE BIKESMITH",1,2210.0000
"FRIENDLY BIKE & HIKE SHOP",1,2110.0000
"PRO BIKE",1,2140.0000
"LITTLE RIVER GENERAL STORE",1,2180.0000
"THE BICYCLE DOCTOR",1,2420.0000
"I C BIKE'S INC",1,2440.0000
"SPORTS CONNECTION",1,2210.0000
"CHGO DR SCHWINN CYCLING",1,2100.0000
"JERRY & STAN'S BICYCLE SHOP",1,2430.0000
"GEORGE'S REPAIR SHOP",1,2160.0000
"BICYCLES UNLIMITED INC",1,2410.0000
"COVENTRY CYCLE WORKS",1,2200.0000
"FRED'S CYCLE & SPORTS",1,2430.0000
"POINTE CYCLE & FITNESS",1,2190.0000
"MILE HIGH SPORTS",1,2140.0000
"A A JACK'S BIKE SHOP",1,2280.0000
"WHEELS FOR WINNERS",1,2140.0000
"CLOVERLAND CYCLE SHOP",1,2180.0000
"FOOTLOOSE SPORTS CENTER",1,2160.0000
"DISCOVERY CYCLE",1,2150.0000
"AARON'S BICYCLE SHOP",1,2170.0000
"OLD TOWN BIKE SHOP",1,2210.0000
